trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-46.149031333321595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9999500004166653}",30,0,-157.54063868317286,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9996875162757026}",25,0,-87.7130976802961,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9992969573935987}",30,0,-142.290396685772,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.9986221915090054}",25,0,-57.70703568270976,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9978882436713011}",30,0,-175.22680941302715,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9968017063026194}",25,0,-104.17906883289172,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9957249245223883}",30,0,-136.55501838506322,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9942274373117206}",25,0,-150.0370364171696,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9928086358538663}",25,0,-232.0207950581352,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
11,False,"{'a': 0.8, 'e': 0.9912347100665236}",25,0,-72.82030091382062,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.9895059058723947}",30,0,-232.82618472509864,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.8, 'e': 0.9872272833756269}",20,11,-33.912541391430764,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.9865003582061291}",20,0,-232.98900769521333,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
15,False,"{'a': 0.8, 'e': 0.9848134698792882}",20,8,-59.89140187031088,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.9837540550246793}",25,1,-213.48697369380628,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 4}",1
17,False,"{'a': 0.8, 'e': 0.9815290196100125}",35,0,-124.09049740669687,"{0: 19, 1: 9, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9780309147241483}",25,0,-145.10323804024412,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9753488261632687}",25,0,-117.78177806452928,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.972514341332643}",20,12,-53.59880128856616,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.8, 'e': 0.9715751917698927}",20,0,-46.786704442960655,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.9691593411724948}",30,0,-112.69837037598562,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.8, 'e': 0.965353927559618}",20,0,-113.65749157402108,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.9626962633073776}",20,0,-155.25993879213902,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
25,False,"{'a': 0.8, 'e': 0.9599423302310505}",20,0,-50.55173258687324,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.9570924037216496}",25,4,-93.3962394375932,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
27,False,"{'a': 0.8, 'e': 0.953996979918209}",25,0,-94.08675520699416,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.8, 'e': 0.9501748447925626}",30,0,-228.5646430094024,"{0: 13, 1: 3, 2: 9, 3: 3, 4: 2}",0
29,False,"{'a': 0.8, 'e': 0.9453923658195982}",20,0,-155.89900471220307,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.9420858062800114}",20,0,-207.98456126538207,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
31,False,"{'a': 0.8, 'e': 0.9386850389448655}",20,0,-104.55268200249313,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
32,False,"{'a': 0.8, 'e': 0.9351904038880602}",25,0,-46.95147644840094,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.9306906418557763}",30,0,-201.74436274046184,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",0
34,False,"{'a': 0.8, 'e': 0.925099038443324}",25,2,-231.14510780323124,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 3}",1
35,False,"{'a': 0.8, 'e': 0.9206711151950209}",25,0,-104.15880032847933,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.9157200756577484}",25,0,-124.21805579074778,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
37,False,"{'a': 0.8, 'e': 0.9106259567216819}",20,0,-74.80360204622025,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.9064481785332217}",20,0,-128.33875426188547,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
39,False,"{'a': 0.8, 'e': 0.9021797562822791}",20,0,-227.38705998762757,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
40,False,"{'a': 0.8, 'e': 0.8978211168075223}",30,0,-72.48569007409263,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.891114956201324}",20,0,-62.98063344919312,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.8, 'e': 0.8865327001832815}",25,0,-112.70186586727465,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.8, 'e': 0.8806802670812924}",25,0,-17.0363676499124,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.8746902294793112}",20,0,-47.88316326246999,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.8697997523847936}",25,0,-173.7658661908142,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.8, 'e': 0.8635643995844335}",25,5,-30.635083863880475,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.8584789201400167}",20,0,-215.98918602232715,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
48,False,"{'a': 0.8, 'e': 0.8533075935189827}",25,0,-35.03776373525489,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.8467235012765061}",25,14,-31.462922953898087,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.8437845268385105}",25,0,-104.23955402057226,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.8, 'e': 0.8370102555293514}",20,0,-65.12499132530739,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.8314966245600446}",25,0,-153.7004758597751,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.8, 'e': 0.8244877230148044}",20,0,-78.39372423940081,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.8187877948737196}",20,4,-34.28986901969487,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.8, 'e': 0.8141688724958926}",25,0,-59.845562640514686,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.8, 'e': 0.8068476035273155}",25,9,-30.54577051337056,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.8020957578842927}",25,0,-78.36693133754062,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.7945683463501467}",25,3,-3.697750598745557,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.7878414881992079}",20,9,-62.12185001131931,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.8, 'e': 0.7844422598535878}",25,0,-46.96833865578081,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.7766286547994516}",25,0,-59.402208611713924,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.8, 'e': 0.7686937030980499}",30,0,-109.78691850640962,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
