trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.8102509584733,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.04676249871841,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.51543681506952,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.12900106022497,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.04843668675426,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.6725694679997,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.83368842758992,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.49341635555741,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.19958748783796,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.27391603907277,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.624088110149884,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.39215123687056,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.40188885986757,"{0: 13, 1: 0, 2: 5, 3: 5, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.39750963004403,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.97937401578354,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.66705378620054,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.9939385016617,"{0: 10, 1: 5, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.52571903881685,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-134.6735409369852,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.68810942169631,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-42.77735380720654,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-173.2836507080416,"{0: 21, 1: 6, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-241.69911138918684,"{0: 13, 1: 3, 2: 10, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-126.58517717836557,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-110.16169701072256,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-211.30580175760798,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-151.3627078480224,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.77169037990245,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.34838837671794,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-175.16847028491412,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
